quote_id,model_id,model,vendor,aggregator_id,aggregator,is_cheapest_for_model,ranked,usd_per_min_480p,usd_per_min_720p,usd_per_min_1080p,resolution_basis,usd_per_second_720p,fixed_usd_per_clip,clip_basis_seconds,max_clip_seconds,audio,audio_note,mode,raw_billing_text,promo_active,promo_kind,promo_label,promo_discount_pct,promo_ends_at,regular_usd_per_min_720p,endpoint_id,model_page_url,source_url,checked_at,method,confidence,verified_price,verified_comparability,needs_review,notes
s25@fal,s25,Seedance 2.5,ByteDance,fal,fal.ai,no,yes,13.23,28.38,69.84,720p,0.473,0,30,30,Included,Included,image-to-video,"$0.0214/1,000 tokens; provider $/s estimate",no,,,,,,bytedance/seedance-2.5/image-to-video,https://fal.ai/models/bytedance/seedance-2.5/image-to-video,https://fal.ai/models/bytedance/seedance-2.5/image-to-video,2026-09-13,sheet+research,medium,,,no,"Live headline estimates: 480p $0.2205/s, 720p $0.473/s with audio. $21.40/M tokens. At exactly 1280x720, 24fps, formula gives $0.46224/s ($13.8672/30s); headline rounding differs. Input-video charges excluded."
kielite@kie,kielite,Veo 3.1 — Kie Lite mode,Google (Kie.ai tier),kie,Kie.ai,yes,yes,,1.125,1.3125,720p,0,0.15,8,8,May vary,May vary,"Lite mode (text-to-video / image-to-video / reference-to-video), per-clip",30 credits = $0.15 per clip,no,,,,,,veo-3-1 (model=lite),https://kie.ai/veo-3-1,https://kie.ai/veo-3-1,2026-09-13,sheet+research,high,ok,ok,no,"Kie-specific Lite mode, not assumed identical to the separate Veo 3.1 Lite API. 4/6/8s options; this calculation uses 8s. Audio may be absent on some outputs. No top-up bonus included."
veofast@kie,veofast,Veo 3.1 Fast,Google,kie,Kie.ai,yes,yes,,2.25,2.4375,720p,0,0.3,8,8,May vary,May vary,"Fast mode (text/image/reference-to-video), per-clip",60 credits = $0.30 per clip,no,,,,,,veo-3-1 (model=fast),https://kie.ai/veo-3-1,https://kie.ai/veo-3-1,2026-09-13,sheet+research,high,ok,ok,no,8s clip basis; 4s/6s also offered. Audio may be unavailable on some outputs. Kie Fast mode; verify endpoint behavior before replacing a different provider.
veofast@piapi,veofast,Veo 3.1 Fast,Google,piapi,PiAPI,no,yes,,5.4,,720p,0.09,0,,8,Included,ON (generate_audio=true),"text-to-video / image-to-video, task_type veo3.1-video-fast","veo3.1-video-fast | Generate Audio True | $0.09/s; /pricing Veo API 'Video Generation Fast: No audio $0.06/s, With audio $0.09/s'",no,,,,,,"model=""veo3.1"", task_type=""veo3.1-video-fast"", generate_audio=true",https://piapi.ai/veo-3-1,https://piapi.ai/docs/veo31-api/text-to-video,2026-09-13,research,high,,,no,Billed per second (not per clip). Duration values shown as '4s'/'8s'; playground example 8s 720p. Resolution param 720p (Veo pages mention 1080p also available at the same per-second rate; no separate 1080p price listed).
veofast@atlas,veofast,Veo 3.1 Fast,Google,atlas,Atlas Cloud,no,yes,,5.76,,720p,0.096,0,8,8,May vary,May vary,text-to-video / image-to-video (same price),720p with audio $0.096/s,no,,,,,,google/veo3.1-fast/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,,,no,With audio. Silent tier $0.08/s ($4.80/min).
veofast@openrouter,veofast,Veo 3.1 Fast,Google,openrouter,OpenRouter,no,yes,,6,7.2,720p,0.1,0,,8,Included,on,text-to-video / image-to-video (first+last frame),"Video (with audio): $0.10/second, tier 720p = $0.10 (1080p $0.12, 4K $0.30). FAQ: 'Veo 3.1 Fast costs from $0.10/second at 720p to $0.30/second at 4K for Video (with audio) and from $0.08/second at 720p to $0.25/second at 4K for Video (no audio).' /videos/models: duration_seconds_with_audio_720p 0.10.",no,,,,,,google/veo-3.1-fast,https://openrouter.ai/google/veo-3.1-fast,https://openrouter.ai/google/veo-3.1-fast,2026-09-13,research,high,,,no,Provider Google Vertex; per-second billing (not Kie per-clip credits). Durations 4/6/8 s. 8 s clip at 720p with audio = $0.80.
veofast@fal,veofast,Veo 3.1 Fast,Google,fal,fal.ai,no,yes,,9,9,720p,0.15,0,,8,Included,on (generate_audio default true),image-to-video,"For every second of video you generate you will be charged $0.10 without audio or $0.15 with audio for 720p or 1080p. At 4k, you will be charged $0.30 per second without audio, or $0.35 with. For example, a 5 second video at 1080p with audio on will cost $0.75.",no,,,,,,fal-ai/veo3.1/fast/image-to-video,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video,2026-09-13,research,high,,,no,Per-second billing (not per-clip). Duration options 4s/6s/8s.
veofast@replicate,veofast,Veo 3.1 Fast,Google,replicate,Replicate,no,yes,,9,,720p,0.15,0,,8,Included,"on (generate_audio=true, default)",text-to-video / image-to-video (with_audio variant),"billingConfig tier: model variant equals with_audio -> ""$0.15"" per second of output video (or around 66 seconds for $10)",no,,,,,,google/veo-3.1-fast,https://replicate.com/google/veo-3.1-fast,https://replicate.com/google/veo-3.1-fast,2026-09-13,research,high,,,no,"Billed per second, not per clip; price keyed on audio only, so 1080p costs the same $0.15/s. Duration enum 4/6/8s."
veofast@wavespeed,veofast,Veo 3.1 Fast,Google,wavespeed,WaveSpeedAI,no,yes,,9,9,720p,0.15,0,,8,Included,on (generate_audio=true),image-to-video,Every run needs $1.2 (both 720p and 1080p). Without audio needs $0.8. Formula: (generate_audio ? 1200000 : 800000) * duration / 8,no,,,,,,google/veo3.1-fast/image-to-video,https://wavespeed.ai/models/google/veo3.1-fast/image-to-video,https://wavespeed.ai/models/google/veo3.1-fast/image-to-video,2026-09-13,research,high,,,no,"Per-second billing on WaveSpeed ($0.15/s with audio; matches /pricing 'Veo 3.1 Fast $0.15/second'). Duration options 4/6/8 s. Same price at 720p, 1080p and 4k (resolution enum includes 4k). discount_rate 100."
veofast@runware,veofast,Veo 3.1 Fast,Google,runware,Runware,no,yes,,9,9,720p,0.15,0,,8,Included,on (providerSettings.google.generateAudio default true),text/image/reference-to-video,from $0.10 per second; Rates per second: 720p / 1080p $0.10; 720p / 1080p with audio $0.15; 4K $0.30; 4K with audio $0.35,no,,,,,,google:3@3,https://runware.ai/docs/models/google-veo-3-1-fast,https://runware.ai/docs/models/google-veo-3-1-fast,2026-09-13,research,high,,,no,Per-second (not per-clip) on Runware. $0.15/s x 60 = $9.00/min; 1080p is the same rate. Duration param default 4; page examples go up to 8s (max_clip_seconds inferred from examples). Video-extend example '7s $1.05'.
veolite@atlas,veolite,Veo 3.1 Lite,Google,atlas,Atlas Cloud,yes,yes,,3,,720p,0.05,0,8,8,Included,Included,text-to-video / image-to-video / start-end-frame (same price),USD per output second,no,,,,,,google/veo3.1-lite/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,,,no,720p tier. Maximum retained from screenshot.
veolite@runware,veolite,Veo 3.1 Lite,Google,runware,Runware,no,yes,,3,4.8,720p,0.05,0,8,8,Included,Included,text/image-to-video,USD per output second,no,,,,,,google:veo@3.1-lite,https://runware.ai/docs/models/google-veo-3-1-lite,https://runware.ai/docs/models/google-veo-3-1-lite,2026-09-13,sheet+research,high,,,no,With audio. Without audio costs $0.03/s ($1.80/min). Provider notes limited capacity.
veolite@fal,veolite,Veo 3.1 Lite,Google,fal,fal.ai,no,yes,,3,4.8,720p,0.05,0,,8,Included,on (generate_audio default true),image-to-video,"For every second of video you generate you will be charged $0.05 for 720p with audio, $0.03 for 720p without audio, $0.08 for 1080p with audio or $0.05 for 1080p without audio. For example, a 4 second video at 720p with audio will cost $0.20.",no,,,,,,fal-ai/veo3.1/lite/image-to-video,https://fal.ai/models/fal-ai/veo3.1/lite/image-to-video,https://fal.ai/models/fal-ai/veo3.1/lite/image-to-video,2026-09-13,research,high,ok,ok,no,Duration options 4s/6s/8s. Text-to-video sibling: fal-ai/veo3.1/lite.
veolite@replicate,veolite,Veo 3.1 Lite,Google,replicate,Replicate,no,yes,,3,4.8,720p,0.05,0,,8,Check setting,included (native audio; no audio toggle in schema),text-to-video / image-to-video,"billingConfig tier: target resolution equals 720p -> ""$0.05"" per second of output video (or 20 seconds for $1)",no,,,,,,google/veo-3.1-lite,https://replicate.com/google/veo-3.1-lite,https://replicate.com/google/veo-3.1-lite,2026-09-13,research,high,,,no,No separate silent rate published on Replicate (no generate_audio parameter). Duration enum 4/6/8; 1080p requires 8s.
veolite@wavespeed,veolite,Veo 3.1 Lite,Google,wavespeed,WaveSpeedAI,no,yes,,3,4.8,720p,0.05,0,,8,Included,on (natively generated audio; no toggle/no surcharge),image-to-video,720p | Cost per 6s $0.30; 1080p $0.48. Billing Rules: 720p $0.05 per second; 1080p $0.08 per second (1.6x base rate),no,,,,,,google/veo3.1-lite/image-to-video,https://wavespeed.ai/models/google/veo3.1-lite/image-to-video,https://wavespeed.ai/models/google/veo3.1-lite/image-to-video,2026-09-13,research,high,,,no,Formula base_price*(1080p?1.6:1)*duration/6; base_price 300000; discount_rate 100. Duration options 4/6/8 s. No silent rate offered (no generate_audio parameter).
veolite@openrouter,veolite,Veo 3.1 Lite,Google,openrouter,OpenRouter,no,yes,,3,4.8,720p,0.05,0,,8,Included,on,text-to-video / image-to-video (first+last frame),"Video (with audio): $0.05/second, tier 720p = $0.05 (1080p $0.08). FAQ: 'Veo 3.1 Lite costs from $0.05/second at 720p to $0.08/second at 1080p for Video (with audio) and from $0.03/second at 720p to $0.05/second at 1080p for Video (no audio).' /videos/models: duration_seconds_with_audio_720p 0.05.",no,,,,,,google/veo-3.1-lite,https://openrouter.ai/google/veo-3.1-lite,https://openrouter.ai/google/veo-3.1-lite,2026-09-13,research,high,,,no,Provider Google Vertex. Durations 4/6/8 s. 8 s 720p with audio = $0.40.
vidu@atlas,vidu,Vidu Q2 Pro Fast,Vidu (Shengshu),atlas,Atlas Cloud,yes,yes,,0.663,,720p,0.0085,0.0255,10,10,Off,Silent,image-to-video,$0.0085/s + $0.0255/clip,yes,standing,15% vs official,15,,0.78,vidu/q2-pro-fast/image-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,ok,ok,no,Image-to-video. Calculator: 5s $0.068; 10s $0.1105. Base charge inferred from both totals. 8s clips cost $0.70125/min; 10s cost $0.663/min.
vidu@wavespeed,vidu,Vidu Q2 Pro Fast,Vidu (Shengshu),wavespeed,WaveSpeedAI,no,yes,,0.825,1.65,720p,0.0138,0,,8,Check setting,none (silent; no audio parameter),image-to-video,"720p | Base price $0.04 | Per additional second $0.01; examples 720p 1s $0.04, 5s $0.08, 8s $0.11. Formula: 720p ? 30000 + 10000*duration : 1080p ? 60000 + 20000*duration",no,,,,,,vidu/q2-pro/image-to-video-fast,https://wavespeed.ai/models/vidu/q2-pro/image-to-video-fast,https://wavespeed.ai/models/vidu/q2-pro/image-to-video-fast,2026-09-13,research,medium,,,no,"Non-linear: $0.03 fixed + $0.01/s at 720p. Normalized on the 8 s maximum clip ($0.11/8s); at 5 s it is $0.08 -> $0.96/min. WaveSpeed's endpoint caps duration at 8 s (1-8), not 10 s."
wanflash@atlas,wanflash,Wan 2.6 Flash,Alibaba,atlas,Atlas Cloud,yes,yes,,2.1,,720p,0.035,0,15,15,Included,Included,image-to-video-flash,USD per output second,yes,standing,30% vs official,30,,3,alibaba/wan-2.6/image-to-video-flash,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,ok,ok,no,Image-to-video. The matching $0.035/s tier is used for comparison; audio-off quote needs a separate calculator check.
wanflash@runware,wanflash,Wan 2.6 Flash,Alibaba,runware,Runware,no,yes,,3,4.5,720p,0.05,0,15,15,Included,Included,image-to-video / reference-to-video,USD per output second,no,,,,,,alibaba:wan@2.6-flash,https://runware.ai/docs/models/alibaba-wan2-6-flash,https://runware.ai/docs/models/alibaba-wan2-6-flash,2026-09-13,sheet+research,high,,,no,"With audio. Reference-to-video maximum is 10s; this row uses image-to-video, up to 15s."
wanflash@fal,wanflash,Wan 2.6 Flash,Alibaba,fal,fal.ai,no,yes,,3,4.5,720p,0.05,0,,15,Included,included (generate_audio default true),image-to-video,"Your request will cost $0.05 per second for 720p, $0.075 per second for 1080p.",no,,,,,,wan/v2.6/image-to-video/flash,https://fal.ai/models/wan/v2.6/image-to-video/flash,https://fal.ai/models/wan/v2.6/image-to-video/flash,2026-09-13,research,high,,,no,Duration options 5/10/15 s. Schema: generate_audio=false 'is cheaper (half as much as a flash generation with audio)'.
wanflash@replicate,wanflash,Wan 2.6 Flash,Alibaba,replicate,Replicate,no,yes,,3,4.5,720p,0.05,0,,15,Included,on (audio_enabled=true default; auto-generated or provided audio file),image-to-video (flash),"billingConfig tier: target resolution equals 720p -> ""$0.05"" per second of output video (or 20 seconds for $1)",no,,,,,,wan-video/wan2.6-i2v-flash,https://replicate.com/wan-video/wan2.6-i2v-flash,https://replicate.com/wan-video/wan2.6-i2v-flash,2026-09-13,research,high,,,no,Price keyed on resolution only; audio_enabled true/false is the same rate. Duration enum 5/10/15.
wanflash@wavespeed,wanflash,Wan 2.6 Flash,Alibaba,wavespeed,WaveSpeedAI,no,yes,,3,4.5,720p,0.05,0,,15,Included,"on (enable_audio=true, 2x multiplier)",image-to-video,"720p | On | $0.25 per 5 seconds. Base rate: $0.125 per 5 seconds (720p, no audio); 1080p multiplier 1.5x; Audio multiplier 2x",no,,,,,,alibaba/wan-2.6/image-to-video-flash,https://wavespeed.ai/models/alibaba/wan-2.6/image-to-video-flash,https://wavespeed.ai/models/alibaba/wan-2.6/image-to-video-flash,2026-09-13,research,high,,,no,Formula: base_price*duration/5*(1080p?1.5:1)*(enable_audio?2:1); base_price 125000; discount_rate 100. Duration 2-15 s.
wansilent@runware,wansilent,Wan 2.6 Flash (silent),Alibaba,runware,Runware,yes,yes,,1.5,2.25,720p,0.025,0,15,15,Off,Off,image-to-video / reference-to-video,USD per output second,no,,,,,,alibaba:wan@2.6-flash,https://runware.ai/docs/models/alibaba-wan2-6-flash,https://runware.ai/docs/models/alibaba-wan2-6-flash,2026-09-13,sheet+research,high,,,no,"Audio off. Atlas audio-off rate is not yet verified, so this is a verified option rather than a complete market minimum."
wansilent@fal,wansilent,Wan 2.6 Flash (silent),Alibaba,fal,fal.ai,no,yes,,1.5,2.25,720p,0.025,0,,15,Off,off (generate_audio=false),image-to-video,"Set to false for silent video generation, which is cheaper (half as much as a flash generation with audio)",no,,,,,,wan/v2.6/image-to-video/flash,https://fal.ai/models/wan/v2.6/image-to-video/flash,https://fal.ai/models/wan/v2.6/image-to-video/flash,2026-09-13,research,medium,ok,ok,no,Derived: half of the $0.05/s 720p audio rate per the endpoint schema note; no explicit silent number printed.
wansilent@wavespeed,wansilent,Wan 2.6 Flash (silent),Alibaba,wavespeed,WaveSpeedAI,no,yes,,1.5,2.25,720p,0.025,0,,15,Off,off (enable_audio=false),image-to-video,720p | Off | $0.125 per 5 seconds,no,,,,,,alibaba/wan-2.6/image-to-video-flash,https://wavespeed.ai/models/alibaba/wan-2.6/image-to-video-flash,https://wavespeed.ai/models/alibaba/wan-2.6/image-to-video-flash,2026-09-13,research,high,,,no,Same endpoint as wanflash with enable_audio=false.
wansilent@atlas,wansilent,Wan 2.6 Flash (silent),Alibaba,atlas,Atlas Cloud,no,yes,,2.1,,720p,0.035,0,,15,Off,"off (generate_audio toggle, default true; calculate returns identical price with audio false)",image-to-video-flash,"720P: our_price $0.035 /s, official_price $0.05 /s, -30%; calculate 15s 720p (audio false): origin 0.75, price 0.525",yes,standing,-30% vs official price,30,,3,alibaba/wan-2.6/image-to-video-flash,https://www.atlascloud.ai/models/alibaba/wan-2.6/image-to-video-flash,https://www.atlascloud.ai/pricing/models,2026-09-13,research,high,,,no,Unchanged vs last-known. Schema duration 5-15s (page text says 2-15). 1080P $0.0525/s = $3.15/min. No separate text-to-video-flash endpoint found.
wansilent@replicate,wansilent,Wan 2.6 Flash (silent),Alibaba,replicate,Replicate,no,yes,,3,,720p,0.05,0,,15,Off,off (audio_enabled=false),image-to-video (flash),"billingConfig tier: target resolution equals 720p -> ""$0.05"" per second of output video (or 20 seconds for $1); schema: audio_enabled ""Disable for silent video output.""",no,,,,,,wan-video/wan2.6-i2v-flash,https://replicate.com/wan-video/wan2.6-i2v-flash,https://replicate.com/wan-video/wan2.6-i2v-flash,2026-09-13,research,high,,,no,No silent discount on Replicate: same $0.05/s as audio-on. 1080p silent also $0.075/s.
wan27@kie,wan27,Wan 2.7,Alibaba,kie,Kie.ai,yes,yes,,4.8,7.2,720p,0.08,0,,15,Check setting,"not separately priced; schema has no native-audio toggle, only optional driving_audio_url input — audio inclusion unverified","image-to-video (first/last frame), native resolution",Pricing: 16 credits per second for 720p (~$0.08) and 24 credits per second for 1080p (~$0.12).,no,,,,,,wan/2-7-image-to-video,https://kie.ai/wan-2-7-video,https://kie.ai/wan-2-7-video,2026-09-13,research,high,ok,ok,no,"16 credits/s x $0.005 x 60. Duration 2-15 s. Same rate for text-to-video, reference-to-video (max 10 s) and video edit."
wan27@atlas,wan27,Wan 2.7,Alibaba,atlas,Atlas Cloud,no,yes,,6,,720p,0.1,0,15,15,Included,Included,,USD per output second,no,,,,,,alibaba/wan-2.7/image-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-12,manual-sheet,high,,,no,Native 720p image-to-video. Added candidate with audio.
wan27@novita,wan27,Wan 2.7,Alibaba,novita,Novita AI,no,yes,,6,9,720p,0.1,0,15,15,Included,Included,image-to-video (first frame / first+last frame / video continuation),USD per output second,no,,,,,,wan2.7-i2v,https://novita.ai/models,https://novita.ai/models,2026-09-13,sheet+research,high,,,no,Catalog 720p $0.10/s. Public model playground confirms 2–15s and audio by default. Checked Video category.
wan27@fal,wan27,Wan 2.7,Alibaba,fal,fal.ai,no,yes,,6,9,720p,0.1,0,,15,Included,native audio not toggleable in schema (optional audio_url driving track); single rate,image-to-video,Your request will cost $0.1 per second for 720p resolution. For 1080p your request will cost $0.15 per second.,no,,,,,,fal-ai/wan/v2.7/image-to-video,https://fal.ai/models/fal-ai/wan/v2.7/image-to-video,https://fal.ai/models/fal-ai/wan/v2.7/image-to-video,2026-09-13,research,high,,,no,Native 720p (resolution enum 720p/1080p). Duration options 2-15 s.
wan27@replicate,wan27,Wan 2.7,Alibaba,replicate,Replicate,no,yes,,6,9,720p,0.1,0,,15,Included,included (auto-generates matching audio if no audio file provided),image-to-video,"billingConfig tier '720p': target resolution equals 720p -> ""$0.10"" per second of output video (or 10 seconds for $1)",no,,,,,,wan-video/wan-2.7-i2v,https://replicate.com/wan-video/wan-2.7-i2v,https://replicate.com/wan-video/wan-2.7-i2v,2026-09-13,research,high,,,no,Duration 2-15s. Text-to-video sibling wan-video/wan-2.7-t2v is a flat $0.10/s regardless of resolution.
wan27@wavespeed,wan27,Wan 2.7,Alibaba,wavespeed,WaveSpeedAI,no,yes,,6,9,720p,0.1,0,,15,Included,on (optional audio; no surcharge in formula),image-to-video,720p: $0.10 per second; 1080p: $0.15 per second (1.5x base rate). 5s $0.50 | 10s $1.00 | 15s $1.50,no,,,,,,alibaba/wan-2.7/image-to-video,https://wavespeed.ai/models/alibaba/wan-2.7/image-to-video,https://wavespeed.ai/models/alibaba/wan-2.7/image-to-video,2026-09-13,research,high,,,no,Matches /pricing table 'Wan 2.7 $0.10/second'. Formula base_price*duration/5*(1080p?1.5:1); discount_rate 100. Duration 2-15 s. Page describes 'optional audio' and audio-track input; no audio price factor.
wan27@runware,wan27,Wan 2.7,Alibaba,runware,Runware,no,yes,,6,9,720p,0.1,0,,15,Included,included (settings.audio default true; no price split),text/image/reference-to-video (image-to-video via inputs.frameImages),from $0.10 per second; Rates per second: 720p $0.10; 1080p $0.15,no,,,,,,alibaba:wan@2.7,https://runware.ai/docs/models/alibaba-wan2-7,https://runware.ai/docs/models/alibaba-wan2-7,2026-09-13,research,high,,,no,Native 720p (1280x720 in dimension table). $0.10/s x 60 = $6.00/min. Duration 2-15s. Example: 'first-last-frame 720p 7s audio $0.708'.
wan27@openrouter,wan27,Wan 2.7,Alibaba,openrouter,OpenRouter,no,yes,,6,,720p,0.1,0,,10,Included,on (generate_audio toggle; single price),text-to-video / image-to-video (first+last frame) / reference-to-video,"Video Output: $0.10/second (single SKU, all sizes). FAQ: 'Wan 2.7 costs $0.10/second.' /videos/models pricing_skus: duration_seconds 0.1.",no,,,,,,alibaba/wan-2.7,https://openrouter.ai/alibaba/wan-2.7,https://openrouter.ai/alibaba/wan-2.7,2026-09-13,research,high,,,no,"Served via AtlasCloud on OpenRouter. Native sizes 1280x720 ... 1920x1080 all at the same $0.10/s (1080p also $6.00/min). Max duration on OpenRouter is 10 s (2-10), not 15 s as in tracked spec."
wan3@replicate,wan3,Wan 3.0,Alibaba,replicate,Replicate,yes,yes,1.5,3,6,720p,0.05,0,30,30,Check setting,Check setting,text-to-video / image-to-video (native 720p),"billingConfig: ""$0.025"" (480p) / ""$0.05"" (720p) / ""$0.10"" (1080p) per second of output video",yes,sale,Live billing 50% below README list; page banner says 30% off this week,50,,6,alibaba/wan-3,https://replicate.com/alibaba/wan-3,https://replicate.com/alibaba/wan-3,2026-09-13,research,high,ok,ok,no,"Replicate's embedded billingConfig (the charged rate) is $0.05/s at 720p and $0.025/s at 480p — 50% below the README list of $0.10/$0.05. The README still says '50% off until Aug 30' (expired wording) and /pricing says '30% off this week'; no published end date, so treat as a limited-time rate. Audio parameter not exposed in the schema. Duration 2–30 s."
wan3@atlas,wan3,Wan 3.0,Alibaba,atlas,Atlas Cloud,no,yes,2.4,4.8,,720p,0.08,0,30,30,Check setting,Check setting,,USD per output second,yes,standing,20% vs official,20,,6,alibaba/wan-3.0/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-12,manual-sheet,high,,,no,"Native 720p, not ESR. Added long-clip candidate; audio setting unverified. 30s model ceiling sourced from Replicate; Atlas endpoint limit should be rechecked."
wan3@kie,wan3,Wan 3.0,Alibaba,kie,Kie.ai,no,yes,2.4,4.8,9.6,720p,0.08,0,,30,Included,audio param default true; single rate regardless of audio,"omni-reference video (text/image/video/audio refs), native resolution","8 credits/s for 480P ($0.04/s), 16 credits/s for 720P ($0.08/s), and 32 credits/s for 1080P ($0.16/s), all 20% below official pricing. Note: The billing rule is (input video duration + output video duration) × unit price.",no,,,,,,wan/3-0-video,https://kie.ai/wan3.0-video,https://kie.ai/wan3.0-video,2026-09-13,research,high,,,no,16 credits/s x $0.005 x 60. Duration 1-30 s; total input video + output must not exceed 30 s. No ESR/upscale option on page.
wan3@openrouter,wan3,Wan 3.0,Alibaba,openrouter,OpenRouter,no,yes,2.55,5.1,10.2,720p,0.085,0,,30,Included,"on (generate_audio toggle, default true; single price for audio on or off)",text-to-video / image-to-video (first frame) / reference-guided,"Pricing table row: 'Alibaba Cloud Int. | 15% off | $0.10 (struck through) $0.085' per second; display tiers 480p $0.0425, 720p $0.085, 1080p $0.17 (/second). /api/v1/videos/models pricing_skus (undiscounted): duration_seconds_480p 0.05, duration_seconds_720p 0.1, duration_seconds_1080p 0.2. Endpoint JSON 'discount': 0.15.",yes,standing,15% off,15,,6,alibaba/wan-3.0,https://openrouter.ai/alibaba/wan-3.0,https://openrouter.ai/alibaba/wan-3.0,2026-09-13,research,high,,,no,"Native 480p/720p/1080p, durations 2-30 s. Provider Alibaba Cloud Int. 15% discount shown live today; no end date published. Regular 720p rate $0.10/s = $6.00/min."
wan3@wavespeed,wan3,Wan 3.0,Alibaba,wavespeed,WaveSpeedAI,no,yes,2.85,5.7,11.4,720p,0.095,0,,30,Included,on (enable_audio default true; no price effect),image-to-video,"Readme: 720p | Per 5s $0.50 | Per second $0.10. Page JSON: base_price 500000, discount_rate 95; formula base_price*(1080p?2:480p?0.5:1)*min(max(ceil(duration),2),30)/5",yes,standing,discount_rate 95 (5% off) in model data,5,,6,alibaba/wan-3.0/image-to-video,https://wavespeed.ai/models/alibaba/wan-3.0/image-to-video,https://wavespeed.ai/models/alibaba/wan-3.0/image-to-video,2026-09-13,research,medium,,,no,"Native 720p/480p/1080p resolution param (not upscale). Billed duration rounded up to whole seconds, clamped 2-30 s. Audio verified: enable_audio toggle exists, no price impact. List price $0.10/s = $6.00/min; 5% discount applied at checkout."
wan3@fal,wan3,Wan 3.0,Alibaba,fal,fal.ai,no,yes,3,6,12,720p,0.1,0,,30,Included,included (audio param default true; no separate silent price),image-to-video,"For every second of video you generate, you will be charged $0.05 480p, $0.10 720p, or $0.20 1080p. For example, a 5s video at 720p will cost $0.50. Pricing is subjected to change.",no,,,,,,alibaba/wan-3.0/image-to-video,https://fal.ai/models/alibaba/wan-3.0/image-to-video,https://fal.ai/models/alibaba/wan-3.0/image-to-video,2026-09-13,research,high,,,no,"Native 720p option (resolution enum 480p/720p/1080p). Duration range 2-30 s. Text-to-video sibling alibaba/wan-3.0/text-to-video. Wan 3.0 Prime (alibaba/wan-3.0-prime) is a separate, pricier tier ($0.068/$0.14/$0.28 per s)."
wan3@runware,wan3,Wan 3.0,Alibaba,runware,Runware,no,yes,3,6,12,720p,0.1,0,,30,Included,included (settings.audio default true; no price split),text/image/reference-to-video,from $0.05 per second; Rates per second: 480p $0.05; 720p $0.10; 1080p $0.20,no,,,,,,alibaba:wan@3.0,https://runware.ai/docs/models/alibaba-wan3-0,https://runware.ai/docs/models/alibaba-wan3-0,2026-09-13,research,high,,,no,"Native 720p (dimension table 1280x720 etc., no upscale flag). $0.10/s x 60 = $6.00/min. Duration 2-30s (default 'auto'). A separate 'Wan3.0 Prime' model also exists (alibaba:wan@3.0-prime, not checked)."
